Number of iterations,aspiration,lenght of tabu list,maximum run time,Nb customers,Nb vehicles,Capacity,DB,results,num graph
100,True,14,75,15,3,100,0.8091833731707992,763.4094087463258,4
125,True,3,60,15,3,100,0.8091833731707992,783.9172991400869,4
125,True,3,75,15,3,100,0.8091833731707992,763.4094087463258,4
125,True,7,60,15,3,100,0.8091833731707992,783.9172991400869,4
125,True,7,75,15,3,100,0.8091833731707992,763.4094087463258,4
125,True,14,60,15,3,100,0.8091833731707992,783.9172991400869,4
125,True,14,75,15,3,100,0.8091833731707992,763.4094087463258,4
150,True,3,60,15,3,100,0.8091833731707992,783.9172991400869,4
150,True,3,75,15,3,100,0.8091833731707992,763.4094087463258,4
150,True,7,60,15,3,100,0.8091833731707992,783.9172991400869,4
150,True,7,75,15,3,100,0.8091833731707992,763.4094087463258,4
150,True,14,60,15,3,100,0.8091833731707992,783.9172991400869,4
150,True,14,75,15,3,100,0.8091833731707992,763.4094087463258,4
100,True,3,60,15,2,350,1.2668475460712783,440.09730965260326,5
100,True,3,75,15,2,350,1.2668475460712783,440.09730965260326,5
100,True,7,60,15,2,350,1.2668475460712783,440.09730965260326,5
100,True,7,75,15,2,350,1.2668475460712783,440.09730965260326,5
100,True,14,60,15,2,350,1.2668475460712783,440.09730965260326,5
100,True,14,75,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,3,60,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,3,75,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,7,60,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,7,75,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,14,60,15,2,350,1.2668475460712783,440.09730965260326,5
125,True,14,75,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,3,60,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,3,75,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,7,60,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,7,75,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,14,60,15,2,350,1.2668475460712783,440.09730965260326,5
150,True,14,75,15,2,350,1.2668475460712783,440.09730965260326,5
100,False,3,60,15,2,280,0.7965197209144423,505.92440835599416,6
100,False,3,75,15,2,280,0.7965197209144423,490.2861190582174,6
100,False,7,60,15,2,280,0.7965197209144423,501.10067847726316,6
100,False,7,75,15,2,280,0.7965197209144423,499.98940308224127,6
100,False,14,60,15,2,280,0.7965197209144423,508.60028849241735,6
100,False,14,75,15,2,280,0.7965197209144423,508.60028849241735,6
125,False,3,60,15,2,280,0.7965197209144423,505.92440835599416,6
125,False,3,75,15,2,280,0.7965197209144423,490.2861190582174,6
125,False,7,60,15,2,280,0.7965197209144423,501.10067847726316,6
125,False,7,75,15,2,280,0.7965197209144423,499.98940308224127,6
125,False,14,60,15,2,280,0.7965197209144423,508.60028849241735,6
125,False,14,75,15,2,280,0.7965197209144423,508.60028849241735,6
150,False,3,60,15,2,280,0.7965197209144423,505.92440835599416,6
150,False,3,75,15,2,280,0.7965197209144423,490.2861190582174,6
150,False,7,60,15,2,280,0.7965197209144423,501.10067847726316,6
150,False,7,75,15,2,280,0.7965197209144423,499.98940308224127,6
150,False,14,60,15,2,280,0.7965197209144423,508.60028849241735,6
150,False,14,75,15,2,280,0.7965197209144423,508.60028849241735,6
100,True,3,60,15,7,50,0.6963064123045851,841.0615905519787,7
100,True,3,75,15,7,50,0.6963064123045851,841.0615905519787,7
100,True,7,60,15,7,50,0.6963064123045851,841.0615905519787,7
100,True,7,75,15,7,50,0.6963064123045851,841.0615905519787,7
100,True,14,60,15,7,50,0.6963064123045851,841.0615905519787,7
100,True,14,75,15,7,50,0.6963064123045851,841.0615905519787,7
125,True,3,60,15,7,50,0.6963064123045851,841.0615905519787,7
125,True,3,75,15,7,50,0.6963064123045851,841.0615905519787,7
125,True,7,60,15,7,50,0.6963064123045851,841.0615905519787,7
125,True,7,75,15,7,50,0.6963064123045851,841.0615905519787,7
125,True,14,60,15,7,50,0.6963064123045851,841.0615905519787,7
125,True,14,75,15,7,50,0.6963064123045851,841.0615905519787,7
150,True,3,60,15,7,50,0.6963064123045851,841.0615905519787,7
150,True,3,75,15,7,50,0.6963064123045851,841.0615905519787,7
150,True,7,60,15,7,50,0.6963064123045851,841.0615905519787,7
150,True,7,75,15,7,50,0.6963064123045851,841.0615905519787,7
150,True,14,60,15,7,50,0.6963064123045851,841.0615905519787,7
150,True,14,75,15,7,50,0.6963064123045851,841.0615905519787,7
100,False,3,60,15,2,280,1.1063759232701733,437.6652776427693,8
100,False,3,75,15,2,280,1.1063759232701733,428.1954168738406,8
100,False,7,60,15,2,280,1.1063759232701733,437.6652776427693,8
100,False,7,75,15,2,280,1.1063759232701733,437.6652776427693,8
100,False,14,60,15,2,280,1.1063759232701733,437.6652776427693,8
100,False,14,75,15,2,280,1.1063759232701733,437.6652776427693,8
125,False,3,60,15,2,280,1.1063759232701733,437.6652776427693,8
125,False,3,75,15,2,280,1.1063759232701733,428.1954168738406,8
125,False,7,60,15,2,280,1.1063759232701733,437.6652776427693,8
125,False,7,75,15,2,280,1.1063759232701733,437.6652776427693,8
125,False,14,60,15,2,280,1.1063759232701733,437.6652776427693,8
125,False,14,75,15,2,280,1.1063759232701733,437.6652776427693,8
150,False,3,60,15,2,280,1.1063759232701733,437.6652776427693,8
150,False,3,75,15,2,280,1.1063759232701733,428.1954168738406,8
150,False,7,60,15,2,280,1.1063759232701733,437.6652776427693,8
150,False,7,75,15,2,280,1.1063759232701733,437.6652776427693,8
150,False,14,60,15,2,280,1.1063759232701733,437.6652776427693,8
150,False,14,75,15,2,280,1.1063759232701733,437.6652776427693,8
100,False,3,60,15,2,160,0.9193482782335318,447.19236863158994,9
100,False,3,75,15,2,160,0.9193482782335318,447.19236863158994,9
100,False,7,60,15,2,160,0.9193482782335318,447.19236863158994,9
100,False,7,75,15,2,160,0.9193482782335318,447.19236863158994,9
100,False,14,60,15,2,160,0.9193482782335318,447.19236863158994,9
100,False,14,75,15,2,160,0.9193482782335318,447.19236863158994,9
125,False,3,60,15,2,160,0.9193482782335318,447.19236863158994,9
125,False,3,75,15,2,160,0.9193482782335318,447.19236863158994,9
125,False,7,60,15,2,160,0.9193482782335318,447.19236863158994,9
125,False,7,75,15,2,160,0.9193482782335318,447.19236863158994,9
125,False,14,60,15,2,160,0.9193482782335318,447.19236863158994,9
125,False,14,75,15,2,160,0.9193482782335318,447.19236863158994,9
150,False,3,60,15,2,160,0.9193482782335318,447.19236863158994,9
150,False,3,75,15,2,160,0.9193482782335318,447.19236863158994,9
150,False,7,60,15,2,160,0.9193482782335318,447.19236863158994,9
150,False,7,75,15,2,160,0.9193482782335318,447.19236863158994,9
150,False,14,60,15,2,160,0.9193482782335318,447.19236863158994,9
150,False,14,75,15,2,160,0.9193482782335318,447.19236863158994,9
100,True,4,60,19,8,55,0.6419341353962966,1434.8702457327904,1
100,True,4,75,19,8,55,0.6419341353962966,1434.8702457327904,1
100,True,9,60,19,8,55,0.6419341353962966,1434.8702457327904,1
100,True,9,75,19,8,55,0.6419341353962966,1434.8702457327904,1
100,True,18,60,19,8,55,0.6419341353962966,1434.8702457327904,1
100,True,18,75,19,8,55,0.6419341353962966,1434.8702457327904,1
125,True,4,60,19,8,55,0.6419341353962966,1434.8702457327904,1
125,True,4,75,19,8,55,0.6419341353962966,1434.8702457327904,1
125,True,9,60,19,8,55,0.6419341353962966,1434.8702457327904,1
125,True,9,75,19,8,55,0.6419341353962966,1434.8702457327904,1
125,True,18,60,19,8,55,0.6419341353962966,1434.8702457327904,1
125,True,18,75,19,8,55,0.6419341353962966,1434.8702457327904,1
150,True,4,60,19,8,55,0.6419341353962966,1434.8702457327904,1
150,True,4,75,19,8,55,0.6419341353962966,1434.8702457327904,1
150,True,9,60,19,8,55,0.6419341353962966,1434.8702457327904,1
150,True,9,75,19,8,55,0.6419341353962966,1434.8702457327904,1
150,True,18,60,19,8,55,0.6419341353962966,1434.8702457327904,1
150,True,18,75,19,8,55,0.6419341353962966,1434.8702457327904,1
100,True,4,60,19,4,100,0.7557844768953441,775.9444798032605,2
100,True,4,75,19,4,100,0.7557844768953441,743.3737672336616,2
100,True,9,60,19,4,100,0.7557844768953441,775.9444798032605,2
100,True,9,75,19,4,100,0.7557844768953441,775.9444798032605,2
100,True,18,60,19,4,100,0.7557844768953441,775.9444798032605,2
100,True,18,75,19,4,100,0.7557844768953441,775.9444798032605,2
125,True,4,60,19,4,100,0.7557844768953441,775.9444798032605,2
125,True,4,75,19,4,100,0.7557844768953441,743.3737672336616,2
125,True,9,60,19,4,100,0.7557844768953441,775.9444798032605,2
125,True,9,75,19,4,100,0.7557844768953441,775.9444798032605,2
125,True,18,60,19,4,100,0.7557844768953441,775.9444798032605,2
125,True,18,75,19,4,100,0.7557844768953441,775.9444798032605,2
150,True,4,60,19,4,100,0.7557844768953441,775.9444798032605,2
150,True,4,75,19,4,100,0.7557844768953441,743.3737672336616,2
150,True,9,60,19,4,100,0.7557844768953441,775.9444798032605,2
150,True,9,75,19,4,100,0.7557844768953441,775.9444798032605,2
150,True,18,60,19,4,100,0.7557844768953441,775.9444798032605,2
150,True,18,75,19,4,100,0.7557844768953441,775.9444798032605,2
100,True,4,60,19,3,150,0.7988501386058595,602.0901617095072,3
100,True,4,75,19,3,150,0.7988501386058595,550.8295101146825,3
100,True,9,60,19,3,150,0.7988501386058595,602.0901617095072,3
100,True,9,75,19,3,150,0.7988501386058595,550.8295101146825,3
100,True,18,60,19,3,150,0.7988501386058595,602.0901617095072,3
100,True,18,75,19,3,150,0.7988501386058595,550.8295101146825,3
125,True,4,60,19,3,150,0.7988501386058595,602.0901617095072,3
125,True,4,75,19,3,150,0.7988501386058595,550.8295101146825,3
125,True,9,60,19,3,150,0.7988501386058595,602.0901617095072,3
125,True,9,75,19,3,150,0.7988501386058595,550.8295101146825,3
125,True,18,60,19,3,150,0.7988501386058595,602.0901617095072,3
125,True,18,75,19,3,150,0.7988501386058595,550.8295101146825,3
150,True,4,60,19,3,150,0.7988501386058595,602.0901617095072,3
150,True,4,75,19,3,150,0.7988501386058595,550.8295101146825,3
150,True,9,60,19,3,150,0.7988501386058595,602.0901617095072,3
150,True,9,75,19,3,150,0.7988501386058595,550.8295101146825,3
150,True,18,60,19,3,150,0.7988501386058595,602.0901617095072,3
150,True,18,75,19,3,150,0.7988501386058595,550.8295101146825,3
100,False,4,60,19,3,150,0.805718131089582,732.042100866347,4
100,False,4,75,19,3,150,0.805718131089582,732.042100866347,4
100,False,9,60,19,3,150,0.805718131089582,732.042100866347,4
100,False,9,75,19,3,150,0.805718131089582,732.042100866347,4
100,False,18,60,19,3,150,0.805718131089582,730.4325766376662,4
100,False,18,75,19,3,150,0.805718131089582,704.8367970567537,4
125,False,4,60,19,3,150,0.805718131089582,732.042100866347,4
125,False,4,75,19,3,150,0.805718131089582,732.042100866347,4
125,False,9,60,19,3,150,0.805718131089582,732.042100866347,4
125,False,9,75,19,3,150,0.805718131089582,732.042100866347,4
125,False,18,60,19,3,150,0.805718131089582,730.4325766376662,4
125,False,18,75,19,3,150,0.805718131089582,704.8367970567537,4
150,False,4,60,19,3,150,0.805718131089582,732.042100866347,4
150,False,4,75,19,3,150,0.805718131089582,732.042100866347,4
150,False,9,60,19,3,150,0.805718131089582,732.042100866347,4
150,False,9,75,19,3,150,0.805718131089582,732.042100866347,4
150,False,18,60,19,3,150,0.805718131089582,730.4325766376662,4
150,False,18,75,19,3,150,0.805718131089582,704.8367970567537,4
100,False,4,60,19,3,200,0.8979525491896196,771.4626827257282,5
100,False,4,75,19,3,200,0.8979525491896196,771.4626827257282,5
100,False,9,60,19,3,200,0.8979525491896196,771.4626827257283,5
100,False,9,75,19,3,200,0.8979525491896196,771.4626827257283,5
100,False,18,60,19,3,200,0.8979525491896196,789.9904169503736,5
100,False,18,75,19,3,200,0.8979525491896196,789.9904169503736,5
125,False,4,60,19,3,200,0.8979525491896196,771.4626827257282,5
125,False,4,75,19,3,200,0.8979525491896196,771.4626827257282,5
125,False,9,60,19,3,200,0.8979525491896196,771.4626827257283,5
125,False,9,75,19,3,200,0.8979525491896196,771.4626827257283,5
125,False,18,60,19,3,200,0.8979525491896196,789.9904169503736,5
125,False,18,75,19,3,200,0.8979525491896196,789.9904169503736,5
150,False,4,60,19,3,200,0.8979525491896196,771.4626827257282,5
150,False,4,75,19,3,200,0.8979525491896196,771.4626827257282,5
150,False,9,60,19,3,200,0.8979525491896196,771.4626827257283,5
150,False,9,75,19,3,200,0.8979525491896196,771.4626827257283,5
150,False,18,60,19,3,200,0.8979525491896196,789.9904169503736,5
150,False,18,75,19,3,200,0.8979525491896196,789.9904169503736,5
100,True,4,60,19,3,100,0.9110946472711077,643.1763906836748,6
100,True,4,75,19,3,100,0.9110946472711077,643.1763906836748,6
100,True,9,60,19,3,100,0.9110946472711077,643.1763906836748,6
100,True,9,75,19,3,100,0.9110946472711077,643.1763906836748,6
100,True,18,60,19,3,100,0.9110946472711077,643.1763906836748,6
100,True,18,75,19,3,100,0.9110946472711077,643.1763906836748,6
125,True,4,60,19,3,100,0.9110946472711077,643.1763906836748,6
125,True,4,75,19,3,100,0.9110946472711077,643.1763906836748,6
125,True,9,60,19,3,100,0.9110946472711077,643.1763906836748,6
125,True,9,75,19,3,100,0.9110946472711077,643.1763906836748,6
125,True,18,60,19,3,100,0.9110946472711077,643.1763906836748,6
125,True,18,75,19,3,100,0.9110946472711077,643.1763906836748,6
150,True,4,60,19,3,100,0.9110946472711077,643.1763906836748,6
150,True,4,75,19,3,100,0.9110946472711077,643.1763906836748,6
150,True,9,60,19,3,100,0.9110946472711077,643.1763906836748,6
150,True,9,75,19,3,100,0.9110946472711077,643.1763906836748,6
150,True,18,60,19,3,100,0.9110946472711077,643.1763906836748,6
150,True,18,75,19,3,100,0.9110946472711077,643.1763906836748,6
100,True,4,60,19,11,3000,0.46924546114659166,1739.328991211005,7
100,True,4,75,19,11,3000,0.46924546114659166,1739.328991211005,7
100,True,9,60,19,11,3000,0.46924546114659166,1739.328991211005,7
100,True,9,75,19,11,3000,0.46924546114659166,1739.328991211005,7
100,True,18,60,19,11,3000,0.46924546114659166,1739.328991211005,7
100,True,18,75,19,11,3000,0.46924546114659166,1739.328991211005,7
125,True,4,60,19,11,3000,0.46924546114659166,1739.328991211005,7
125,True,4,75,19,11,3000,0.46924546114659166,1739.328991211005,7
125,True,9,60,19,11,3000,0.46924546114659166,1739.328991211005,7
125,True,9,75,19,11,3000,0.46924546114659166,1739.328991211005,7
125,True,18,60,19,11,3000,0.46924546114659166,1739.328991211005,7
125,True,18,75,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,4,60,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,4,75,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,9,60,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,9,75,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,18,60,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,18,75,19,11,3000,0.46924546114659166,1739.328991211005,7
100,False,4,60,19,7,55,0.6785168111211278,1113.7106884575296,8
100,False,4,75,19,7,55,0.6785168111211278,1113.7106884575296,8
100,False,9,60,19,7,55,0.6785168111211278,1111.7560062671746,8
100,False,9,75,19,7,55,0.6785168111211278,1111.7560062671746,8
100,False,18,60,19,7,55,0.6785168111211278,1107.8209057491028,8
100,False,18,75,19,7,55,0.6785168111211278,1056.853658226094,8
125,False,4,60,19,7,55,0.6785168111211278,1113.7106884575296,8
125,False,4,75,19,7,55,0.6785168111211278,1113.7106884575296,8
125,False,9,60,19,7,55,0.6785168111211278,1111.7560062671746,8
125,False,9,75,19,7,55,0.6785168111211278,1111.7560062671746,8
125,False,18,60,19,7,55,0.6785168111211278,1107.8209057491028,8
125,False,18,75,19,7,55,0.6785168111211278,1056.853658226094,8
150,False,4,60,19,7,55,0.6785168111211278,1113.7106884575296,8
150,False,4,75,19,7,55,0.6785168111211278,1113.7106884575296,8
150,False,9,60,19,7,55,0.6785168111211278,1111.7560062671746,8
150,False,9,75,19,7,55,0.6785168111211278,1111.7560062671746,8
150,False,18,60,19,7,55,0.6785168111211278,1107.8209057491028,8
150,False,18,75,19,7,55,0.6785168111211278,1056.853658226094,8
100,False,4,60,19,2,350,0.8161180699201307,525.7662034756067,9
100,False,4,75,19,2,350,0.8161180699201307,490.87337702463753,9
100,False,9,60,19,2,350,0.8161180699201307,525.7662034756067,9
100,False,9,75,19,2,350,0.8161180699201307,493.2809836284871,9
100,False,18,60,19,2,350,0.8161180699201307,531.188015366909,9
100,False,18,75,19,2,350,0.8161180699201307,506.8695327418729,9
125,False,4,60,19,2,350,0.8161180699201307,525.7662034756067,9
125,False,4,75,19,2,350,0.8161180699201307,490.87337702463753,9
125,False,9,60,19,2,350,0.8161180699201307,525.7662034756067,9
125,False,9,75,19,2,350,0.8161180699201307,493.2809836284871,9
125,False,18,60,19,2,350,0.8161180699201307,531.188015366909,9
125,False,18,75,19,2,350,0.8161180699201307,506.8695327418729,9
150,False,4,60,19,2,350,0.8161180699201307,525.7662034756067,9
150,False,4,75,19,2,350,0.8161180699201307,490.87337702463753,9
150,False,9,60,19,2,350,0.8161180699201307,525.7662034756067,9
150,False,9,75,19,2,350,0.8161180699201307,493.2809836284871,9
150,False,18,60,19,2,350,0.8161180699201307,531.188015366909,9
150,False,18,75,19,2,350,0.8161180699201307,506.8695327418729,9
100,False,4,60,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,4,75,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,9,60,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,9,75,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,18,60,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,18,75,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,4,60,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,4,75,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,9,60,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,9,75,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,18,60,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,18,75,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,4,60,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,4,75,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,9,60,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,9,75,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,18,60,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,18,75,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,44,60,178,62,50,0.6856375901004754,11022.920851126164,2
100,False,44,75,178,62,50,0.6856375901004754,11002.610845907391,2
100,False,89,60,178,62,50,0.6856375901004754,11022.920851126164,2
100,False,89,75,178,62,50,0.6856375901004754,11002.610845907391,2
100,False,177,60,178,62,50,0.6856375901004754,11022.920851126164,2
100,False,177,75,178,62,50,0.6856375901004754,11002.610845907391,2
125,False,44,60,178,62,50,0.6856375901004754,11022.920851126164,2
125,False,44,75,178,62,50,0.6856375901004754,11002.610845907391,2
125,False,89,60,178,62,50,0.6856375901004754,11022.920851126164,2
125,False,89,75,178,62,50,0.6856375901004754,11002.610845907391,2
125,False,177,60,178,62,50,0.6856375901004754,11022.920851126164,2
125,False,177,75,178,62,50,0.6856375901004754,11002.610845907391,2
150,False,44,60,178,62,50,0.6856375901004754,11030.812613347773,2
150,False,44,75,178,62,50,0.6856375901004754,11002.610845907391,2
150,False,89,60,178,62,50,0.6856375901004754,11022.920851126164,2
150,False,89,75,178,62,50,0.6856375901004754,11002.610845907391,2
150,False,177,60,178,62,50,0.6856375901004754,11022.920851126164,2
150,False,177,75,178,62,50,0.6856375901004754,11002.610845907391,2
100,False,44,60,178,31,100,0.7070996176270493,7544.1346571038,3
100,False,44,75,178,31,100,0.7070996176270493,7241.344808948737,3
100,False,89,60,178,31,100,0.7070996176270493,7544.1346571038,3
100,False,89,75,178,31,100,0.7070996176270493,7241.344808948737,3
100,False,177,60,178,31,100,0.7070996176270493,7544.1346571038,3
100,False,177,75,178,31,100,0.7070996176270493,7241.344808948737,3
125,False,44,60,178,31,100,0.7070996176270493,7544.1346571038,3
125,False,44,75,178,31,100,0.7070996176270493,7241.344808948737,3
125,False,89,60,178,31,100,0.7070996176270493,7544.1346571038,3
125,False,89,75,178,31,100,0.7070996176270493,7241.344808948737,3
125,False,177,60,178,31,100,0.7070996176270493,7544.1346571038,3
125,False,177,75,178,31,100,0.7070996176270493,7241.344808948737,3
150,False,44,60,178,31,100,0.7070996176270493,7544.1346571038,3
150,False,44,75,178,31,100,0.7070996176270493,7241.344808948737,3
150,False,89,60,178,31,100,0.7070996176270493,7544.1346571038,3
150,False,89,75,178,31,100,0.7070996176270493,7286.812331799724,3
150,False,177,60,178,31,100,0.7070996176270493,7544.1346571038,3
150,False,177,75,178,31,100,0.7070996176270493,7241.344808948737,3
100,False,44,60,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,44,75,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,89,60,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,89,75,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,177,60,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,177,75,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,44,60,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,44,75,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,89,60,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,89,75,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,177,60,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,177,75,178,53,80,0.7189431455384366,9731.790331535529,4
150,False,44,60,178,53,80,0.7189431455384366,9731.790331535529,4
150,False,44,75,178,53,80,0.7189431455384366,9731.790331535529,4
150,False,89,60,178,53,80,0.7189431455384366,9731.790331535529,4
150,False,89,75,178,53,80,0.7189431455384366,9731.790331535529,4
150,False,177,60,178,53,80,0.7189431455384366,9731.790331535529,4
150,False,177,75,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,44,60,178,67,60,0.640845456458792,11958.542180868344,5
100,False,44,75,178,67,60,0.640845456458792,11958.542180868344,5
100,False,89,60,178,67,60,0.640845456458792,11958.542180868344,5
100,False,89,75,178,67,60,0.640845456458792,11958.542180868344,5
100,False,177,60,178,67,60,0.640845456458792,11958.542180868344,5
100,False,177,75,178,67,60,0.640845456458792,11958.542180868344,5
125,False,44,60,178,67,60,0.640845456458792,11958.542180868344,5
125,False,44,75,178,67,60,0.640845456458792,11958.542180868344,5
125,False,89,60,178,67,60,0.640845456458792,11958.542180868344,5
